Country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Nepal;1057;1119;1135;1076;1152;1194;1218;1208;1269;1290;1315;1360.7836;1374.6611;1385.2411;1456.0203;1468.079;1511.7336;1558.3988;1570.6635;1609.1803;1676.7456;1738.3142;1709.7787;1747.7766;1802.1438;1836.3057;1884.1871;1927.3865;2021.154;2085.2437;2152.2747;2189;2258;2316;2421;2455;2443.4324;2632.3408;2800.8596;2953.5603;2832.8608;2902.0503
Netherlands;23438;23153;22780;23086;23750;24361;24893;25085;25574;26612;27515;28126.781;28555.732;28879.996;29727.557;30680.348;31811.738;33199.633;34688.55;36409.08;37899.95;38636.223;38653.125;38803.957;39682.375;40679.49;42286.51;44008.75;44840.71;43178.508;43812.348;44591;43968.254;43782.97;44245.56;44912.664;45654.47;46706.438;47528.902;48142.67;46014.484;48001.84
New Zealand;19681;20537;20715;21015;21783;21780;22124;22142;22022;22107;21817;21125.895;21093.06;21897.676;23076.857;23751.902;24321.248;24802.129;24861.416;25867.992;26823.018;27167.318;28065.855;28876.287;29806.734;30270.248;30798.63;31784.441;31444.633;31233.076;31586.09;32057;32714.732;33109.26;33591.32;34248.477;34879.938;35573.965;36420.047;36912.074;35853.69;37837.457
Nigeria;2080;1855;1784;1631;1527;1621;1610;1556;1667;1729;1773;1759.0035;1793.9402;1817.7495;1820.3046;1851.0375;1924.0884;1977.2856;2025.8649;2034.8275;2144.8254;2282.823;2609.1294;2848.2812;3136.6274;3347.8206;3564.6323;3817.4836;4084.2002;4416.347;4904.8657;5136;5216.3154;5356.3887;5550.727;5558.026;5337.1294;5248.6885;5215.3755;5197.0825;4976.3223;5029.0884
Norway;24031;24179;24141;24924;26321;27608;28504;28953;28786;28942;29434;31127.676;33041.207;34819.516;37492.836;40043.797;43133.145;46556.48;48956.73;51129.184;54039.96;56578.38;58840.414;60852.258;64824.145;68108.555;71310.53;74879.81;76522.06;76625.63;78476.15;80623;81725.22;81564.3;82311.33;82983.99;83213.016;84600.71;84739.92;85115.32;83543.1;86334.59
Pakistan;1851;1924;2002;2077;2106;2230;2302;2364;2442;2487;2531;2644.5742;2732.3816;2777.332;2855.9062;2947.6826;2979.808;2986.7056;3035.4517;3111.9585;3154.5115;3176.9468;3265.6865;3437.992;3664.5334;3883.9346;4062.6665;4160.365;4224.405;4288.462;4354.267;4464;4538.3457;4638.1616;4750.878;4889.915;5030.8354;5189.937;5299.071;5219.534;5242.6953;5463.7744
Paraguay;5113;5424;5230;4935;4945;4994;4854;4919;5082;5222;5230;5224.3;5186.564;5270.8994;5305.5005;5463.623;5360.743;5399.426;5321.9194;5150.4087;4896.4297;4918.046;5571.4272;5726.99;5876.66;5922.791;6128.6426;6383.4854;6713.0303;6376.9414;7139.027;7377;7232.376;7735.565;8047.5933;8188.404;8438.709;8741.245;8915.669;8776.076;8603.079;8845.659
Portugal;12822;12934;13198;13158;12894;13240;13774;14641;15729;16533;17256;17949.809;18598.527;18519.934;18819.027;19262.031;19939.31;20810.178;21782.12;22589.922;23372.041;23751.371;23896.459;23677.52;24142.766;24377.95;24809.04;25477.205;25590.88;24902.457;25463.164;25133;24211.438;24119.96;24442.387;24983.701;25568.695;26529.986;27329.69;28056.057;25700.283;27138.479
Rwanda;1672;1706;1680;1722;1597;1621;1642;1586;1538;1476;1398;1282.2594;1301.689;1110.9209;707.2971;1049.2385;976.4079;932.0059;950.38947;975.83594;1023.6182;1067.2347;1154.1061;1130.0414;1159.0281;1210.5105;1261.7609;1291.1934;1364.745;1384.2589;1416.3923;1449;1528.552;1552.4253;1601.3938;1708.3467;1774.9015;1799.474;1908.049;2042.8529;1935.2662;2106.9736
Saudi Arabia;21068;21393;20535;17315;16343;14422;12897;12919;12795;12758;14335;16830.412;17905.28;18101.092;18678.932;19223.332;20280.494;21087.428;22310.918;22058.572;23904.516;24191.996;24053.975;27367.094;30233.512;32700.332;34483.043;36070.316;39393.43;39671.555;42737.656;48470;49835.047;50021.12;50790.992;51941.598;51959.074;50593.27;50906.484;50123.336;46723.93;49841.145
Senegal;2021;1943;2168;2153;1989;2000;2031;2048;2085;1980;1999;1982.626;1942.9268;1906.8239;1847.5983;1886.5428;1866.3423;1866.3911;1915.4297;1978.0964;1983.524;2009.9423;1959.6141;2025.0234;2074.9539;2121.1587;2104.437;2137.6716;2146.7915;2129.3364;2151.3247;2123;2141.3882;2127.3865;2191.9766;2262.3123;2335.8652;2435.9604;2514.8071;2559.8176;2524.2656;2607.2322
Singapore;13601;14335;14687;15720;16767;16611;16831;18345;19853;21221;22666;23636.684;24775.57;27073.715;29454.613;30957.287;32724.488;34868.066;33590.48;35156.117;37772.758;36864.574;37829.906;38950.746;42111.168;44698.84;48073.59;51844.062;52180.17;51344.477;58612.73;61672;62855.523;64821.926;66498.555;67673.94;69211.05;72292.04;74518.15;74649.734;71964.7;77945.484
Spain;14005.935;13895.314;14046.1045;14240.944;14313.326;14696.966;15242.98;16273.085;17275.508;18360.352;19215;19958.06;20329.168;20056.54;20673.955;21522.098;22185.066;23113.615;24284.861;25549.54;26994.86;28153.553;28753.322;29371.865;30088.092;30885.602;31907.424;32735.434;32844.324;31669.691;31786.404;31600;30645.215;30327.451;30842.184;32057.098;33002.676;33924.137;34553.625;34957.465;30834.514;32553.05
Sri Lanka;2917;3049;3151;3268;3387;3484;3607;3590;3633;3677;3864;4214.982;4020.974;4247.023;4500.8193;4702.295;5187.709;5628.5303;5440.221;5488.515;5841.094;5620.966;5721.3086;5963.57;6191.9663;6491.198;6904.036;7283.6323;7622.4087;7796.6475;8319.703;8918;9599.045;9898.523;10437.811;10784.185;11236.119;11868.202;12051.547;11939.55;11447.249;11751.948
Sweden;23809;23777;24002;24412;25357;25805;26309;27016;27468;27933;28068;27614.035;27198.53;26558.824;27505.955;28519.443;29012.105;29862.666;31187.164;32705.215;34202.605;34666.664;35569.773;36435.754;38016.062;39258.992;40992.3;42399.844;42189.965;40116.312;42634.754;42079;41523.145;41661.805;42346.836;43782.457;44131.03;44658.484;45003.492;45434.402;44128.332;46226.543
Switzerland;27405.73;27729.586;27660.95;28009.328;28315.082;29416.752;30847.994;31774.371;32482.908;33315.586;34250;34128.64;34356.8;34625.535;35423.83;36004.23;36720.492;38165.477;39890.54;41091.637;43251.105;44398.64;44934.316;45441.598;47263.598;49273.902;51862.965;54509.54;56054.883;55171.5;57219.5;58686;58750.938;59120.062;59775.54;60070.867;60647.64;60903.223;62185.477;62448.598;60521.26;62595.31
Turkey;6070;6201;6381;6489;6736;6958;7323;7838;8019;7992;8606;8658.379;9150.435;9865.301;9308.695;9962.536;10644.634;11432.437;11772.83;11151.674;11904.008;10950.992;11753.953;12380.207;13423.795;14487.758;15425.188;16090.835;16182.732;15188.421;16528.12;17919;18539.223;19855.717;20557.4;21519.33;21937.162;23278.996;23650.49;23497.504;23721.88;26175.93
United Arab Emirates;44168;42456;36635;32737;32135;29562;21949;21487;20215;21072;22254;25668.49;25630.08;25558.756;28334.582;31239.918;34042.742;38168.465;39667.793;42372.438;48888.03;51263.375;54077.47;59823.266;64925.67;65599.055;67830.93;65412.8;63862.086;58860.535;60112.402;65307;66007;66825.305;67791.39;71319.61;74292.95;73973.29;74206.484;74396.14;70188.27;72460.04
United Kingdom;20612;20319;20650;21366;21869;22579;23498;24536;25679;26164;26189;25792.014;25790.186;26349.342;27277.543;27861.215;28472.248;29259.764;30077.385;30932.537;31946.037;32660.441;33271.3;34232.426;34865.78;35623.625;36214.07;36816.676;36264.79;34402.36;34754.473;34971;35243.64;35660.56;36521.86;37101.227;37593.906;38283.938;38704.6;39113.01;34651.184;37134.33
United States;29611;30056;29210;30158;32076;33023;33850;34730;35863;36756;36982;36463.957;37240.3;37761.535;38807.28;39390.625;40412.75;41722.67;43072.758;44575.848;45886.47;45878.008;46266.297;47157.996;48492.72;49654.76;50489.86;50901.746;50275.746;48452.934;49266.914;49675;50436.434;51010.797;51796.62;52808.152;53301.016;54152.363;55454.668;56469.26;54379.207;57522.703
Zimbabwe;2064;2243;2240;2190;2067;2128;2107;2004;2114;2181;2160;2222.2554;1971.4456;1948.9105;2110.712;2102.8599;2292.4875;2326.5388;2369.019;2323.0093;2211.1963;2193.7385;2025.3177;1700.9558;1604.503;1496.0343;1455.7286;1422.1553;1197.5261;1285.0466;1401.8566;1515;1749.8566;1766.3789;1789.0048;1798.7872;1782.8301;1843.9463;1900.1992;1753.0244;1585.9728;1687.2532
Korea;1715.4224;1883.456;1992.5168;2198.9393;2413.2765;2482.4;2834.8903;3554.606;4748.6406;5817.0656;6609.9973;7636.9481;8126.6621;8884.9195;10385.3905;12564.7244;13402.9946;12398.4905;8281.7195;10672.4476;12257.0207;11561.2072;13165.0836;14672.8058;16496.1316;19402.5026;21743.4775;24086.4104;21350.428;19143.8516;23079.2601;25097.5954;25459.1689;27179.517;29252.9312;28737.4392;29280.4403;31600.7359;33447.1563;31902.4169;31721.2989;35142.2643
