Country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Pakistan;80624057;84270202;87828198;91080372;94003867;97121552;100618523;104251093;107967838;111670386;115414069;119203569;122375179;125546615;129245139;133117476;137234810;141330267;145476106;149694462;154369924;159217727;163262807;166876680;170648620;174372098;178069984;181924521;185931955;190123222;194454498;198602738;202205861;205337562;208251628;210969298;213524840;216379655;219731479;223293280;227196741;231402117
Paraguay;3078912;3163299;3251678;3343276;3437892;3535498;3636027;3739050;3844437;3951288;4059195;4167996;4277051;4386202;4495301;4603917;4711655;4818289;4923449;5026031;5123819;5211541;5286512;5353254;5416324;5476878;5534675;5590145;5645148;5702574;5768613;5843939;5923322;6005652;6090721;6177950;6266615;6355404;6443328;6530026;6618695;6703799
Portugal;9766312;9851362;9911771;9957865;9996232;10023613;10032734;10030031;10019610;10005000;9983218;9960235;9952494;9964675;9991525;10026176;10063945;10108977;10160196;10217828;10289898;10362722;10419631;10458821;10483861;10503330;10522288;10542964;10558177;10568247;10573100;10557560;10514844;10457295;10401062;10358076;10325452;10300300;10283822;10286263;10297081;10361831
Rwanda;5247532;5441966;5652900;5859396;6056729;6266752;6497804;6735829;6953975;7141974;7319962;7485681;7657208;7904740;6732665;5686897;6715510;7666732;7914645;8009587;8109989;8223941;8372306;8567992;8791853;9026299;9270066;9523168;9781996;10043737;10309031;10576932;10840334;11101350;11368451;11642959;11930899;12230339;12531808;12835028;13146362;13461888
Saudi Arabia;10171710;10678211;11201154;11746020;12310361;12890245;13483349;14089798;14713715;15353227;16004763;16654276;17281350;17846461;18367528;18888857;19410280;19938377;20472580;21009660;21547390;22085929;22623415;23150847;23661808;24397644;25382870;26400068;27437353;28483797;29411929;30150945;30821543;31482498;32125564;32749848;33416270;34193122;35018133;35827362;35997107;35950396
Senegal;5703869;5852029;6008392;6171874;6341801;6520705;6710885;6909837;7113636;7321832;7536001;7754289;7974514;8196551;8416997;8632681;8843423;9051539;9261526;9478564;9704287;9938027;10180950;10434504;10698691;10974057;11263387;11563869;11872929;12195029;12530121;12875880;13231833;13595566;13970308;14356181;14751356;15157793;15574909;16000781;16436120;16876720
Singapore;2413945;2532835;2646466;2681061;2732221;2735957;2733373;2774789;2846108;2930901;3047132;3135083;3230698;3313471;3419048;3524506;3670704;3796038;3927213;3958723;4027887;4138012;4175950;4114826;4166664;4265762;4401365;4588599;4839396;4987573;5076732;5183688;5312437;5399162;5469724;5535002;5607283;5612253;5638676;5703569;5685807;5453566
Spain;37491165;37758631;37986012;38171525;38330364;38469512;38584624;38684815;38766939;38827764;38867322;38966376;39157685;39361262;39549108;39724050;39889852;40057389;40223509;40386875;40567864;40850412;41431558;42187645;42921895;43653155;44397319;45226803;45954106;46362946;46576897;46742697;46773055;46620045;46480882;46444832;46484062;46593236;46797754;47134837;47365655;47415794
Sri Lanka;14943645;15198918;15438753;15658442;15872577;16092338;16317995;16547139;16773736;16990575;17204094;17416596;17624457;17825611;18011744;18177572;18322506;18449123;18560798;18670411;18776371;18920275;19110707;19303180;19490431;19673866;19870706;20078655;20285643;20482477;20668557;20859743;21017147;21131756;21239457;21336697;21425494;21506813;21670000;21803000;21919000;22156000
Sweden;8310531;8320503;8325263;8329033;8336605;8350386;8369829;8397804;8436489;8492964;8558835;8617375;8668067;8718561;8780745;8826939;8840998;8846062;8850974;8857874;8872109;8895960;8924958;8958229;8993531;9029572;9080505;9148092;9219637;9298515;9378126;9449213;9519374;9600379;9696110;9799186;9923085;10057698;10175214;10278887;10353442;10415811
Switzerland;6319408;6354074;6391309;6418773;6441865;6470365;6504124;6545106;6593386;6646912;6715519;6799978;6875364;6938265;6993795;7040687;7071850;7088906;7110001;7143991;7184250;7229854;7284753;7339001;7389625;7437115;7483934;7551117;7647675;7743831;7824909;7912398;7996861;8089346;8188649;8282396;8373338;8451840;8514329;8575280;8638167;8704546
Türkiye;44089069;44981877;45949991;47026425;48106764;49175673;50223885;51250152;52275890;53305234;54324142;55321172;56302037;57296008;58310245;59305490;60293786;61277426;62242204;63185615;64113547;65072018;65988663;66867327;67785075;68704715;69601333;70158112;71051678;72039206;73142150;74223629;75175827;76147624;77181884;78218479;79277962;80312698;81407204;82579440;83384680;84147318
United Arab Emirates;1014048;1100180;1167856;1237572;1308331;1379536;1468697;1575909;1683681;1791840;1900151;2008383;2116231;2223284;2329024;2433988;2572735;2746119;2921130;3097563;3275333;3454198;3633655;3813443;3993339;4280993;4898954;5872624;6988685;7992644;8481771;8575205;8664969;8751847;8835951;8916899;8994263;9068296;9140169;9211657;9287289;9365145
United Kingdom;56314216;56333829;56313641;56332848;56422072;56550268;56681396;56802050;56928327;57076711;57247586;57424897;57580402;57718614;57865745;58019030;58166950;58316954;58487141;58682466;58892514;59119673;59370479;59647577;59987905;60401206;60846820;61322463;61806995;62276270;62766365;63258810;63700215;64128273;64602298;65116219;65611593;66058859;66460344;66836327;67081234;67026292
United States;227225000;229466000;231664000;233792000;235825000;237924000;240133000;242289000;244499000;246819000;249623000;252981000;256514000;259919000;263126000;266278000;269394000;272657000;275854000;279040000;282162411;284968955;287625193;290107933;292805298;295516599;298379912;301231207;304093966;306771529;309327143;311583481;313877662;316059947;318386329;320738994;323071755;325122128;326838199;328329953;331511512;332031554
Zimbabwe;7049926;7506526;7803855;8106356;8398567;8690515;8983044;9277488;9568739;9846346;10113893;10377815;10641501;10794918;10858594;10994041;11178171;11362401;11548364;11716454;11834676;11910978;11984644;12075828;12160881;12224753;12330490;12450568;12550347;12679810;12839771;13025785;13265331;13555422;13855753;14154937;14452704;14751101;15052184;15354608;15669666;15993524
